Frequency(Hz),Power(dBm),Power_real(dBm)
1680610000,-121.1332016,-120.6067939
1687600000,-87.31177521,-86.78422522
1694590000,-121.1400452,-120.6113551
1701580000,-87.01249695,-86.4826688
1708570000,-121.8966141,-121.3656501
1715560000,-85.75512695,-85.22302917
1722550000,-116.0256882,-115.4924588
1729540000,-84.3742218,-83.83986284
1736530000,-123.9713516,-123.4358652
1743520000,-87.21000671,-86.6733949
1750510000,-123.4154816,-122.8777465
1757500000,-86.5135498,-85.97469337
1764490000,-119.5674744,-119.0274987
1771480000,-86.85308075,-86.31198784
1778470000,-129.0747681,-128.53256
1785460000,-87.45105743,-86.90773608
1792450000,-119.9331207,-119.3886881
1799440000,-64.88892365,-64.34338181
1806430000,-119.0886307,-118.5419816
1813420000,-55.72822189,-55.18046741
1820410000,-104.2125626,-103.6637047
1827400000,-61.52451324,-60.97455388
1834390000,-101.9228592,-101.3718003
1841380000,-52.80040359,-52.24824703
1848370000,-115.9014206,-115.3481683
1855360000,-62.7289772,-62.17463103
1862350000,-116.0506439,-115.4952057
1869340000,-56.00967407,-55.45314578
1876330000,-111.5491867,-110.9915701
1883320000,-58.4631691,-57.90446612
1890310000,-120.3758621,-119.8160745
1897300000,-86.85956573,-86.29869539
1904290000,-118.6917648,-118.1298135
1911280000,-86.72865295,-86.1656225
1918270000,-116.5246658,-115.960558
1925260000,-86.83837128,-86.2731879
1932250000,-119.2265625,-118.6603053
1939240000,-86.91780853,-86.35047932
1946230000,-121.9275665,-121.359167
1953220000,-86.16750336,-85.59803533
1960210000,-123.0235901,-122.4530553
1967200000,-86.47663116,-85.90503126
1974190000,-122.0296097,-121.4569465
1981180000,-86.16419983,-85.59047494
1988170000,-123.1496124,-122.5748276
1995160000,-86.57681274,-86.00096965
2002150000,-119.4880905,-118.9111908
2009140000,-86.52903748,-85.95108291
2016130000,-118.6943054,-118.1152976
2023120000,-87.4713974,-86.89133802
2030110000,-117.0935059,-116.5123966
2037100000,-87.17453003,-86.59237242
2044090000,-118.4827423,-117.899538
2051080000,-87.09158325,-86.50733393
2058070000,-115.1395035,-114.5542108
2065060000,-86.58365631,-85.99732174
2072050000,-119.6650848,-119.07771
2079040000,-85.6547699,-85.06635646
2086030000,-117.3562851,-116.7668346
2093020000,-85.66699219,-85.07650621
2100010000,-124.9790421,-124.3875222
2107000000,-75.93757629,-75.34502403
2113990000,-115.0544052,-114.4608221
2120980000,-75.8167038,-75.22209146
2127970000,-120.1315842,-119.5359441
2134960000,-66.98773956,-66.39107328
2141950000,-102.9141541,-102.3164631
2148940000,-65.06272125,-64.4640071
2155930000,-113.8907166,-113.2909808
2162920000,-60.30062866,-59.69987266
2169910000,-118.1087952,-117.5070205
2176900000,-85.30166626,-84.69887437
2183890000,-118.676796,-118.0729884
2190880000,-86.06826782,-85.46344595
2197870000,-116.1385269,-115.5326922
2204860000,-86.14079285,-85.53394684
2211850000,-119.0626526,-118.4547967
2218840000,-85.80847168,-85.19960732
2225830000,-119.3879395,-118.7780681
2232820000,-86.07711029,-85.46623331
2239810000,-119.6228943,-119.0110131
2246800000,-87.09927368,-86.48638977
2253790000,-120.8300476,-120.2161623
2260780000,-85.05665588,-84.44177067
2267770000,-121.0735703,-120.4576865
2274760000,-85.80710602,-85.19022508
2281750000,-117.1044922,-116.4866155
2288740000,-84.72982788,-84.11095674
2295730000,-112.7436905,-112.1238263
2302720000,-85.55519867,-84.93434281
2309710000,-119.2728195,-118.6509733
2316700000,-84.1882019,-83.56536674
2323690000,-118.454834,-117.8310112
2330680000,-83.68618011,-83.06137102
2337670000,-114.3492813,-113.7234873
2344660000,-85.11326599,-84.48648831
2351650000,-119.0503769,-118.4226169
2358640000,-81.45723724,-80.82849624
2365630000,-114.1148071,-113.4850864
2372620000,-81.05187988,-80.4211808
2379610000,-123.0394516,-122.4077754
2386600000,-83.26251221,-82.62986024
2393590000,-117.826973,-117.1933465
2400580000,-56.08695221,-55.45235249
2407570000,-114.0736847,-113.438113
2414560000,-42.3755188,-41.73897642
2421550000,-118.3971481,-117.7596363
2428540000,-72.0078125,-71.36933252
2435530000,-120.6736069,-120.03416
2442520000,-83.94100189,-83.30058932
2449510000,-119.7993088,-119.1579318
2456500000,-79.75449371,-79.11215351
2463490000,-121.7416763,-121.0983741
2470480000,-84.31744385,-83.67318095
2477470000,-116.6006699,-115.9554475
2484460000,-85.08535767,-84.43917695
2491450000,-119.2492294,-118.6020916
2498440000,-83.19165039,-82.54355669
2505430000,-117.9514465,-117.3023981
2512420000,-84.41131592,-83.76131404
2519410000,-113.8388062,-113.187852
2526400000,-84.99525452,-84.34334922
2533390000,-117.0055771,-116.3527219
2540380000,-83.74822235,-83.09441836
2547370000,-116.3028412,-115.6480896
2554360000,-84.30775452,-83.65205651
2561350000,-118.4320145,-117.7753712
2568340000,-84.88352966,-84.22594228
2575330000,-122.3001404,-121.6416101
2582320000,-84.64097595,-83.98150381
2589310000,-118.2277908,-117.567378
2596300000,-85.3717804,-84.71042806
2603290000,-116.4389725,-115.7766818
2610280000,-83.71069336,-83.04746535
2617270000,-119.7188721,-119.0547079
2624260000,-84.65041351,-83.98531433
2631250000,-115.8723602,-115.2063271
2638240000,-85.19378662,-84.52682073
2645230000,-117.9784546,-117.310557
2652220000,-84.24224091,-83.57341274
2659210000,-113.5604706,-112.8907129
2666200000,-83.60131836,-82.93063229
2673190000,-115.4701538,-114.7985404
2680180000,-83.86045837,-83.18791876
2687170000,-117.6078949,-116.9344301
2694160000,-85.13851929,-84.46413046
2701150000,-118.9182129,-118.2429011
2708140000,-83.78580475,-83.10957098
2715130000,-117.1808929,-116.5037383
2722120000,-84.38545227,-83.70737782
2729110000,-120.717186,-120.0381928
2736100000,-85.07861328,-84.39870237
2743090000,-116.9840317,-116.3032041
2750080000,-84.76933289,-84.08758971
2757070000,-117.7798386,-117.0971808
2764060000,-83.98535156,-83.30178026
2771050000,-115.091568,-114.4070842
2778040000,-85.13732147,-84.45192618
2785030000,-120.3819885,-119.6956828
2792020000,-84.40000916,-83.71279398
2799010000,-120.6731339,-119.9850103
2806000000,-84.33007813,-83.64104712
2812990000,-113.4004669,-112.7105295
2819980000,-84.291008,-83.60016519
2826970000,-116.5645599,-115.8728127
2833960000,-84.51115417,-83.81850357
2840950000,-115.8809662,-115.1874132
2847940000,-85.61294556,-84.91849114
2854930000,-116.7294617,-116.0341068
2861920000,-84.96614838,-84.26989408
2868910000,-120.7302704,-120.0331176
2875900000,-84.86898041,-84.17093015
2882890000,-121.0364685,-120.3375217
2889880000,-85.07391357,-84.37407124
2896870000,-119.0590897,-118.3583528
2903860000,-84.90370178,-84.20207123
2910850000,-116.1378403,-115.4353171
2917840000,-84.27088928,-83.56747435
2924830000,-115.5575409,-114.8532352
2931820000,-84.92865753,-84.22346202
2938810000,-124.0048599,-123.2987755
2945800000,-84.57366943,-83.86669712
2952790000,-116.7802658,-116.0724065
2959780000,-84.87277985,-84.16403448
2966770000,-117.4332657,-116.7236352
2973760000,-85.09810638,-84.38759168
2980750000,-117.864769,-117.153371
2987740000,-84.98081207,-84.26853174
2994730000,-115.8926849,-115.1795231
3001720000,-84.57675171,-83.86270941
3008710000,-114.9403763,-114.2254544
3015700000,-84.26384735,-83.54804674
3022690000,-118.9673615,-118.2506831
3029680000,-84.47407532,-83.75652001
3036670000,-117.5025864,-116.7841551
3043660000,-84.21760559,-83.49829918
3050650000,-115.2214508,-114.5012702
3057640000,-84.43179321,-83.71073926
3064630000,-114.6772385,-113.9553121
3071620000,-84.4094162,-83.68661827
3078610000,-114.3056946,-113.582026
3085600000,-85.08091736,-84.35637896
3092590000,-118.5352707,-117.8098634
3099580000,-83.48323822,-82.75696286
3106570000,-121.2895584,-120.5624159
3113560000,-84.60191345,-83.87390459
3120550000,-120.885498,-120.1566237
3127540000,-85.00022125,-84.27048235
3134530000,-115.6825638,-114.9519612
3141520000,-84.70328522,-83.9718197
3148510000,-112.9229202,-112.1905927
3155500000,-84.06968689,-83.33649816
3162490000,-114.1084671,-113.374418
3169480000,-84.32949829,-83.59458974
3176470000,-118.6268768,-117.8911096
3183460000,-84.94493866,-84.20831364
3190450000,-121.3224945,-120.5850125
3197440000,-83.11280823,-82.37447008
3204430000,-115.8016891,-115.0624956
3211420000,-83.19061279,-82.45056482
3218410000,-125.812706,-125.0718044
3225400000,-84.91413879,-84.1723843
3232390000,-116.4940414,-115.7514349
3239380000,-85.07667542,-84.33321768
3246370000,-121.5834122,-120.8391041
3253360000,-84.39653778,-83.65138005
3260350000,-117.3390656,-116.5930591
3267340000,-83.33946991,-82.59261541
3274330000,-118.7090302,-117.9613285
3281320000,-83.76602173,-83.01747367
3288310000,-114.7796936,-114.0303
3295300000,-84.23912048,-83.48888206
3302290000,-115.265625,-114.5145426
3309280000,-83.85997772,-83.1080521
3316270000,-117.2651901,-116.5124221
3323260000,-83.52950287,-82.7758932
3330250000,-114.2874756,-113.5330251
3337240000,-84.82220459,-84.066914
3344230000,-114.8091888,-114.0530589
3351220000,-85.11542511,-84.35845671
3358210000,-115.5326157,-114.7748096
3365200000,-84.07505035,-83.31640723
3372190000,-115.7141418,-114.9546625
3379180000,-84.22597504,-83.46566028
3386170000,-115.7525635,-114.9914141
3393160000,-85.26389313,-84.50190977
3400150000,-114.5155563,-113.7527398
3407140000,-84.60552216,-83.84187324
3414130000,-113.9358521,-113.1713715
3421120000,-84.94029236,-84.17498089
3428110000,-114.1070251,-113.3408835
3435100000,-84.75679779,-83.98982676
3442090000,-114.8392715,-114.0714718
3449080000,-84.29832458,-83.52969698
3456070000,-120.2629852,-119.4935304
3463060000,-83.5430603,-82.77277908
3470050000,-122.8532867,-122.0821798
3477040000,-85.31600189,-84.54407
3484030000,-118.8202209,-118.0474648
3491020000,-85.11125183,-84.33767219
3498010000,-117.5485687,-116.7741663
3505000000,-84.78645325,-84.01122877
3511990000,-119.1673889,-118.3913431
3518980000,-84.39159393,-83.61472749
3525970000,-117.3121109,-116.5344246
3532960000,-84.74411011,-83.96560459
3539950000,-115.7790222,-114.9996982
3546940000,-84.87365723,-84.09351548
3553930000,-115.0507431,-114.2697843
3560920000,-85.71416473,-84.93238959
3567910000,-116.2160797,-115.4334889
3574900000,-83.8313446,-83.04793889
3581890000,-118.8385773,-118.0543574
3588880000,-84.36576843,-83.58073496
3595870000,-114.6215134,-113.8356671
3602860000,-84.24729919,-83.46064074
3609850000,-121.7095642,-120.9220943
3616840000,-86.60961151,-85.82133086
3623830000,-116.3397903,-115.5506996
3630820000,-86.47519684,-85.68529674
3637810000,-121.4909973,-120.7002885
3644800000,-85.84426117,-85.05274437
3651790000,-118.7869186,-117.9945945
3658780000,-85.39849854,-84.60536775
3665770000,-118.8542709,-118.0603341
3672760000,-86.02449799,-85.22975593
3679750000,-121.2108154,-120.4152687
3686740000,-86.83303833,-86.03668769
3693730000,-122.0185242,-121.2213703
3700720000,-87.21107483,-86.41311829
3707710000,-125.4892349,-124.6904764
3714700000,-86.58372498,-85.7841652
3721690000,-119.3830032,-118.5826428
3728680000,-87.70553589,-86.90437552
3735670000,-118.8020096,-118.0000499
3742660000,-86.8454895,-86.04273117
3749650000,-116.5712509,-115.7676946
3756640000,-87.23186493,-86.42751126
3763630000,-116.1364288,-115.3312784
3770620000,-87.21599579,-86.41004938
3777610000,-120.6345596,-119.8278178
3784600000,-87.30615997,-86.49862341
3791590000,-117.0900116,-116.2816809
3798580000,-86.90381622,-86.09469209
3805570000,-119.0928497,-118.2829327
3812560000,-87.44249725,-86.63178811
3819550000,-123.5005264,-122.6890257
3826540000,-87.28733063,-86.47503902
3833530000,-118.4775467,-117.6644648
3840520000,-87.48861694,-86.6747454
3847510000,-118.8150024,-118.0003418
3854500000,-88.02934265,-87.2138937
3861490000,-121.8964767,-121.08024
3868480000,-86.88995361,-86.07292975
3875470000,-120.987236,-120.1694256
3882460000,-87.62219238,-86.8035961
3889450000,-117.2522888,-116.4329072
3896440000,-87.45222473,-86.63205851
3903430000,-118.870369,-118.0494187
3910420000,-87.5641098,-86.74237611
3917410000,-118.5884857,-117.7659692
3924400000,-86.72201538,-85.89871667
3931390000,-124.0914001,-123.2673198
3938380000,-88.42861938,-87.60375809
3945370000,-121.1617889,-120.3361472
3952360000,-88.2355957,-87.40917425
3959350000,-121.0321503,-120.2049497
3966340000,-87.1939621,-86.3659829
3973330000,-116.544136,-115.7153788
3980320000,-89.00249481,-88.17296027
3987310000,-122.0072479,-121.1769366
3994300000,-88.73095703,-87.89986953
4001290000,-124.0049286,-123.1730655
4008280000,-89.1829834,-88.35034531
4015270000,-122.5165939,-121.6831814
4022260000,-88.4257431,-87.59155679
4029250000,-123.7452011,-122.9102416
4036240000,-88.87164307,-88.03591089
4043230000,-117.6797256,-116.8432214
4050220000,-88.60542297,-87.76814726
4057210000,-122.9678574,-122.1298108
4064200000,-88.62604523,-87.78722831
4071190000,-122.7718124,-121.9322257
4078180000,-89.10048676,-88.26013095
4085170000,-122.5824051,-121.7412807
4092160000,-89.59030914,-88.74841674
4099150000,-121.5140228,-120.671363
4106140000,-88.25587463,-87.41244793
4113130000,-117.916069,-117.071876
4120120000,-89.51210785,-88.66714912
4127110000,-121.7961197,-120.9503958
4134100000,-88.17604065,-87.32955217
4141090000,-119.3049164,-118.4576639
4148080000,-88.33243561,-87.48441963
4155070000,-119.4600906,-118.6113117
4162060000,-88.67766571,-87.82812447
4169050000,-123.7241669,-122.8738639
4176040000,-88.85715485,-88.00609059
4183030000,-118.7044296,-117.8526047
4190020000,-87.54647064,-86.69388557
